from	to
Xanthomonas	Chloroflexus
Xanthomonas	Pleomorphomonas
Xanthomonas	Caulobacter
Xanthomonas	Formivibrio
Xanthomonas	Neisseria
Xanthomonas	Afipia
Xanthomonas	Acetobacterium
Xanthomonas	Desulfobulbus
Xanthomonas	Bosea
Xanthomonas	Ideonella
Xanthomonas	Chthoniobacter
Xanthomonas	Prolixibacter
Xanthomonas	Leucobacter
Xanthomonas	Nitrosococcus
Xanthomonas	Sutterella
Xanthomonas	Tahibacter
Xanthomonas	Microbacter
Xanthomonas	Marinoscillum
Xanthomonas	Rhodopseudomonas
Xanthomonas	Tumebacillus
Xanthomonas	Rhodopirellula
Xanthomonas	Anaerobacillus
Xanthomonas	Rhodococcus
Xanthomonas	Veillonella
Xanthomonas	Cryobacterium
Xanthomonas	Lactobacillus
Xanthomonas	Dietzia
Xanthomonas	Oceanobacter
Xanthomonas	Methylomonas
Xanthomonas	Leptospira
Xanthomonas	Pseudolabrys
Xanthomonas	Chelatococcus
Xanthomonas	Reichenbachiella
Xanthomonas	Anaeromyxobacter dehalogenans
Xanthomonas	Alloprevotella
Xanthomonas	Thiomonas
Xanthomonas	Erwinia
Xanthomonas	Papillibacter
Xanthomonas	Rhodanobacter
Xanthomonas	Holophaga
Xanthomonas	Paraprevotella
Xanthomonas	Mesorhizobium
Xanthomonas	Kocuria
Xanthomonas	Exiguobacterium
Xanthomonas	Mucilaginibacter
Xanthomonas	Ochrobactrum
Xanthomonas	Aeromicrobium
Xanthomonas	Chromobacterium
Xanthomonas	Azotobacter
Xanthomonas	Singulisphaera
Xanthomonas	Actinoplanes
Xanthomonas	Rheinheimera
Xanthomonas	Conexibacter
Xanthomonas	Pedosphaera
Xanthomonas	Undibacterium
Xanthomonas	Sideroxydans
Xanthomonas	Syntrophorhabdus
Xanthomonas	Sterolibacterium
Xanthomonas	Aquitalea
Xanthomonas	Pelolinea
Xanthomonas	Georgenia
Xanthomonas	Draconibacterium
Xanthomonas	Rubrobacter
Xanthomonas	Paucimonas
Xanthomonas	Sphingosinicella
Xanthomonas	Mitsuokella
Xanthomonas	Luteibacter
Xanthomonas	Fibrobacter
Xanthomonas	Rhodovulum
Xanthomonas	Thermomonospora
Xanthomonas	Luteimonas
Xanthomonas	Eggerthella
Xanthomonas	Oryzihumus
Xanthomonas	Shewanella
Xanthomonas	Methylobacter
Xanthomonas	Branchiibius
Xanthomonas	Beggiatoa
Xanthomonas	Micropruina
Xanthomonas	Haliea
Xanthomonas	Microbacterium
Xanthomonas	Petrimonas
Xanthomonas	Brevibacterium
Xanthomonas	Alcaligenes
Xanthomonas	Cellulosimicrobium
Xanthomonas	Odoribacter
Xanthomonas	Gordonibacter
Xanthomonas	Chromatocurvus
Xanthomonas	Paludibacterium
Xanthomonas	Marvinbryantia
Xanthomonas	Solobacterium
Xanthomonas	Rothia
Xanthomonas	Thiobacillus
Xanthomonas	Treponema
Xanthomonas	Demequina
